,Greater Capital City,Number of Tweets Made
703,ladysmithbritishcolumbia (ladysmithbritishcolumbia),10
361,dampieraustralia (dampieraustralia),10
1221,tallebudgeragoldcoast (tallebudgeragoldcoast),10
1287,tugungoldcoast (tugungoldcoast),10
676,kingsbeachsunshinecoast (kingsbeachsunshinecoast),10
1122,sandoverampilatwatja (sandoverampilatwatja),10
1371,westcoastrosebery (westcoastrosebery),10
73,badgercreekhealesville (badgercreekhealesville),10
1227,tarannaeaglehawkneck (tarannaeaglehawkneck),10
288,chilternvalleychiltern (chilternvalleychiltern),9
1268,tiwiislandsmilikapiti (tiwiislandsmilikapiti),9
971,nowranowra-bomaderry (nowranowra-bomaderry),9
432,edmontonalberta (edmontonalberta),9
993,ourimbahcentralcoast (ourimbahcentralcoast),9
1218,tabletopalbury (tabletopalbury),9
907,nambungcervantes (nambungcervantes),9
231,cabaritabeachtweedheads (cabaritabeachtweedheads),9
720,lakewendoureeballarat (lakewendoureeballarat),9
250,canobolasorange (canobolasorange),9
1344,warganwentworth (warganwentworth),9
348,cullinaneinnisfail (cullinaneinnisfail),9
1419,woodstockkingspoint (woodstockkingspoint),9
495,genoaliguria (genoaliguria),9
1421,woombyenambour (woombyenambour),9
807,meltonsouthmelton (meltonsouthmelton),9
617,ironbaronwhyalla (ironbaronwhyalla),9
101,barwonheadsoceangrove-barwonheads (barwonheadsoceangrove-barwonheads),9
629,jasperalberta (jasperalberta),9
1347,warnervalecentralcoast (warnervalecentralcoast),9
1336,wandongwandong-heathcotejunction (wandongwandong-heathcotejunction),9
1332,wallsendnewcastle (wallsendnewcastle),9
584,hexhamnewcastle (hexhamnewcastle),9
1071,ravellocampania (ravellocampania),9
575,helensvalegoldcoast (helensvalegoldcoast),9
825,middletonbeachalbany (middletonbeachalbany),9
835,missionriverweipa (missionriverweipa),9
1309,valentinenewcastle (valentinenewcastle),9
1429,worongarygoldcoast (worongarygoldcoast),9
752,lovelybanksgeelong (lovelybanksgeelong),9
60,austinvillegoldcoast (austinvillegoldcoast),9
1092,rockhamptoncityrockhampton (rockhamptoncityrockhampton),9
1098,roebuckbroome (roebuckbroome),9
664,kemblagrangewollongong (kemblagrangewollongong),9
141,bighillbendigo (bighillbendigo),8
281,charlestownnewcastle (charlestownnewcastle),8
647,kalganalbany (kalganalbany),8
1036,pointlonsdalepointlonsdale-queenscliff (pointlonsdalepointlonsdale-queenscliff),8
29,albionparkrailwollongong (albionparkrailwollongong),8
991,ormeaugoldcoast (ormeaugoldcoast),8
810,merewethernewcastle (merewethernewcastle),8
140,biggerawatersgoldcoast (biggerawatersgoldcoast),8
769,maidenheadsoutheast (maidenheadsoutheast),8
1006,paradisepointgoldcoast (paradisepointgoldcoast),8
319,coolangattashoalhavenheads (coolangattashoalhavenheads),8
1197,stocktonnewcastle (stocktonnewcastle),8
1127,scarnessherveybay (scarnessherveybay),8
1372,westdaletamworth (westdaletamworth),8
1187,stanleyflatclare (stanleyflatclare),8
572,hazelbrookbluemountains (hazelbrookbluemountains),8
815,mermaidwatersgoldcoast (mermaidwatersgoldcoast),8
1156,sorrentocampania (sorrentocampania),8
1033,pointarkwrightsunshinecoast (pointarkwrightsunshinecoast),8
1085,rivergladesmurraybridge (rivergladesmurraybridge),8
689,koonoomootocumwal (koonoomootocumwal),8
78,balgowniewollongong (balgowniewollongong),8
968,northwollongongwollongong (northwollongongwollongong),8
1412,witherencanungra (witherencanungra),8
966,northwangarattawangaratta (northwangarattawangaratta),8
1284,trinitybeachcairns (trinitybeachcairns),8
627,janjuctorquay-janjuc (janjuctorquay-janjuc),8
197,broadmeadownewcastle (broadmeadownewcastle),7
519,gobbagombalinestella (gobbagombalinestella),7
947,northarmeumundi (northarmeumundi),7
1319,veronaveneto (veronaveneto),7
230,byawathaeldorado (byawathaeldorado),7
567,harwoodmaclean (harwoodmaclean),7
743,lockhartlockhartriver (lockhartlockhartriver),7
280,charlessturtuniversityestella (charlessturtuniversityestella),7
155,bloomfieldwujalwujal (bloomfieldwujalwujal),7
403,dunmorewollongong (dunmorewollongong),7
673,kilmoreeastkilmore (kilmoreeastkilmore),7
25,aireysinletaireysinlet-fairhaven (aireysinletaireysinlet-fairhaven),7
839,moffatbeachsunshinecoast (moffatbeachsunshinecoast),7
82,ballarateastballarat (ballarateastballarat),7
1296,tygalgahmurwillumbah (tygalgahmurwillumbah),7
1356,waverleylaunceston (waverleylaunceston),7
143,bilingagoldcoast (bilingagoldcoast),7
983,oldburymundijong (oldburymundijong),7
853,moontabaymoonta (moontabaymoonta),7
441,elseymataranka (elseymataranka),7
1302,unionstationdenver (unionstationdenver),7
858,mooroopnashepparton-mooroopna (mooroopnashepparton-mooroopna),7
318,coolabuniakingaroy (coolabuniakingaroy),7
1262,tigheshillnewcastle (tigheshillnewcastle),7
597,hopetounhopetoun(vic.) (hopetounhopetoun(vic.)),7
1173,southnowranowra-bomaderry (southnowranowra-bomaderry),7
1329,wallagootkalaru (wallagootkalaru),7
114,bellambiwollongong (bellambiwollongong),7
367,davenportalicurung (davenportalicurung),7
1126,scarboroughwollongong (scarboroughwollongong),7
580,hernehillgeelong (hernehillgeelong),7
1277,toukleycentralcoast (toukleycentralcoast),7
296,cliftleighheddongreta (cliftleighheddongreta),7
919,newboroughmoe-newborough (newboroughmoe-newborough),7
921,newcastlewestnewcastle (newcastlewestnewcastle),7
724,lammermooryeppoon (lammermooryeppoon),7
1333,wamberalcentralcoast (wamberalcentralcoast),7
1145,sippydownssunshinecoast (sippydownssunshinecoast),7
1323,victorharborvictorharbor-goolwa (victorharborvictorharbor-goolwa),7
19,abermainkurrikurri-weston (abermainkurrikurri-weston),7
1373,westendhistoricdistrictdallas (westendhistoricdistrictdallas),7
789,maroochyriversunshinecoast (maroochyriversunshinecoast),7
1083,richmondrichmond(tas.) (richmondrichmond(tas.)),7
433,edmontoncairns (edmontoncairns),6
763,mackayharbourmackay (mackayharbourmackay),6
324,coomeragoldcoast (coomeragoldcoast),6
437,elanoragoldcoast (elanoragoldcoast),6
1238,teraranowra-bomaderry (teraranowra-bomaderry),6
31,alexandraheadlandsunshinecoast (alexandraheadlandsunshinecoast),6
609,indigovalleybarnawartha (indigovalleybarnawartha),6
32,alfredtonballarat (alfredtonballarat),6
1271,toowoombacitytoowoomba (toowoombacitytoowoomba),6
