,Author Id,Number of Tweets Made
57675,#19062237,1943
31851,#1427875971982499843,1942
78575,#309411495,1936
86690,#381855245,1936
56890,#18564887,1935
67986,#25033901,1935
57616,#1903049988,1929
66021,#2399185452,1928
11174,#1189506683317317638,1928
25585,#1372897204168400901,1924
89735,#420142099,1920
68697,#254645712,1920
63691,#2298762841,1911
114218,#906807506479013888,1910
57138,#1873771620,1909
37265,#1467421148128452609,1909
97503,#559932417,1905
111421,#859550048484380672,1900
106058,#769477734368030720,1899
90431,#43069580,1898
6588,#1116217381292929024,1895
109267,#825398771030781952,1892
67886,#2498860580,1891
93097,#473696731,1889
109410,#827273362359529473,1889
84281,#353018532,1889
82810,#337351696,1888
79099,#3125491,1888
66211,#241064045,1888
71480,#270762898,1886
90468,#43109416,1884
3004,#1055475917718544384,1882
101365,#66986880,1880
119101,#993728675903258624,1879
83624,#34547542,1879
14569,#1240774401529790464,1877
23810,#1354680726524846081,1875
38153,#1475594289677672448,1870
117271,#960050947148804096,1864
44119,#1517979199054974976,1864
37227,#1467081938691182593,1859
58971,#198787226,1856
109236,#824905159905906689,1853
66289,#241410022,1852
88025,#39790151,1849
74632,#2882849906,1847
2509,#1047053292587638786,1846
79136,#312967248,1845
12322,#1208124852,1843
118106,#975460352,1842
96162,#53088467,1842
96358,#535859298,1842
36320,#1459864883558686732,1840
10098,#1172104568794075137,1837
103640,#730182095138492416,1833
81064,#325472951,1833
100747,#631368205,1831
93557,#4795746620,1831
110534,#844136363813298180,1831
83577,#34497962,1827
81811,#3301069003,1827
106293,#773526096390266881,1826
115748,#934016184,1822
5044,#1090479427,1819
112287,#874104278301814784,1817
16983,#1269278516933087232,1816
70939,#26722530,1813
57957,#1924903579,1811
101431,#67553438,1809
96864,#546769391,1808
90811,#4365435920,1806
72952,#2793782807,1804
60842,#21634836,1803
112413,#875971,1798
20796,#1319403520097878016,1790
69228,#2574271742,1787
45916,#1531168545601908737,1783
1519,#1027900963690971136,1780
107153,#788549983,1779
40932,#1493736769983893505,1779
95412,#51373362,1779
450,#10083942,1777
118038,#974176038392492034,1777
115179,#923926441,1776
755,#1014393842567557120,1774
62071,#222999727,1774
11895,#120050192,1771
114622,#913981100,1764
32016,#14290644,1763
65859,#23923083,1762
19101,#1296949513366564864,1762
12666,#1213739751443845120,1761
47005,#15414356,1759
116010,#938493271,1759
50069,#1571880654,1756
93286,#4761257834,1756
58268,#19443178,1756
62983,#22698155,1756
25741,#1374569155475599371,1755
62246,#22359616,1754
97943,#568238566,1750
77171,#3010026786,1747
97239,#554823116,1744
45096,#1524185958450892801,1743
15411,#1250416547178237952,1737
91272,#444122166,1736
44769,#15216467,1735
30863,#1420944693479632906,1734
72872,#279001492,1733
2675,#104986839,1731
57350,#18865456,1729
39546,#1483975904,1729
102066,#705197633099333632,1728
105206,#755903325497798657,1725
87690,#394022301,1725
18798,#1293028396016914433,1723
10356,#1176370429587378176,1723
87287,#389330698,1722
20526,#131577927,1720
102961,#719211298244853765,1720
53183,#1609496120,1719
110309,#840548337174503424,1718
100357,#621644562,1717
17310,#1273732312312582144,1716
112798,#8828892,1713
71123,#268696840,1712
72311,#275818151,1709
114793,#916992944061607939,1709
74928,#289680933,1709
70416,#2635871982,1709
1178,#102149220,1706
66039,#240096743,1701
9944,#1169473376454242305,1701
74833,#289273038,1701
85358,#365736160,1695
12651,#1213622068685598720,1694
101171,#65237356,1692
62211,#22350627,1689
74163,#2857829498,1687
87729,#39449845,1686
69847,#260106537,1686
82715,#336331257,1684
68431,#25287056,1684
82409,#333219527,1682
65117,#2360233783,1682
71458,#270637007,1681
36951,#1464851775853404164,1677
4480,#1081411800870993921,1676
11179,#11895822,1676
9978,#1170134329428570112,1674
52537,#1597113709,1674
2540,#1047612660542464000,1673
27180,#1389753629561610240,1669
6297,#1111141276705972225,1669
39592,#14842621,1668
64655,#234170321,1667
62591,#225016439,1667
53419,#162218638,1663
4456,#108102331,1663
103456,#727276934787268608,1662
75406,#291661014,1661
67643,#248504928,1659
89856,#4219512258,1657
22577,#1341136389992148992,1656
91533,#449315951,1656
34766,#1448918343747096595,1654
34723,#1448564782873808898,1651
91298,#44475797,1650
101964,#70374894,1650
82491,#333913059,1649
78916,#3113111159,1648
91065,#4409414551,1646
37018,#1465442351841640448,1645
54293,#1667079373,1645
68292,#25216092,1645
16263,#1260767793827340289,1644
86304,#3775291874,1644
54522,#16806737,1643
59469,#20359596,1641
1660,#1030771816199942144,1641
23784,#1354352474367254531,1640
69141,#256904188,1640
58335,#194871638,1640
16296,#126118157,1639
12940,#1217025882,1638
60539,#21476870,1637
51977,#1590706224,1636
58450,#1956404546,1635
103098,#72160503,1634
114058,#904072386,1629
109048,#821524888020103168,1627
12825,#1215379328541716480,1627
69580,#2591068388,1625
112135,#871602183568891904,1623
7613,#113312341,1620
60816,#216226689,1620
59830,#20742804,1617
59005,#19903565,1615
76106,#295028776,1615
118111,#975546936198447104,1613
71008,#2678391007,1611
106623,#778891000823418880,1609
3915,#1072198207826997250,1608
79198,#31348137,1607
63204,#22776947,1604
96155,#53064796,1603
9486,#11623972,1603
94584,#493872642,1602
72983,#2795435178,1600
107445,#793307241025720320,1600
57131,#1872780134,1598
86063,#374442539,1596
20355,#1313364070796460032,1591
110000,#836119507173154816,1590
21458,#1327189360014356480,1589
97770,#564272426,1588
58721,#19700412,1588
105651,#762893490107711489,1585
64953,#2354745823,1585
35289,#1452758554511695873,1584
34811,#1449266529913110529,1584
74369,#2869621064,1584
69804,#2599325539,1581
9622,#1164618737099534336,1580
90730,#435218222,1577
24409,#1360854673628913665,1576
50642,#1577112243954536449,1575
39230,#14820495,1574
105802,#76543694,1573
15948,#1256704564281044992,1573
16572,#1264429474386333696,1572
91944,#456270299,1571
13694,#1228260719784677376,1570
82497,#3339771273,1570
65304,#23694056,1565
79524,#3158539489,1565
3111,#1057488460150460416,1565
35914,#1457014724910977024,1565
93028,#4728654368,1562
106415,#775375,1560
97522,#560174496,1558
80330,#321685778,1558
84619,#35697545,1557
62038,#2227820730,1556
91117,#441699470,1555
87173,#388129974,1552
103417,#726549579986931712,1550
22352,#1338074063294492674,1550
2515,#104725941,1547
108792,#81789339,1547
103856,#733249941674418176,1541
55945,#177543302,1540
54880,#17017548,1538
17690,#127870659,1535
2661,#1049567178654011392,1535
66961,#2450460074,1535
41871,#1500282998390165504,1531
12687,#1214032730372968449,1531
29107,#1408214107078098946,1530
98060,#570547572,1527
95338,#511856633,1525
27590,#139364001,1525
87002,#386039682,1525
83402,#34283044,1525
24044,#1356917324817723393,1516
79291,#3141021181,1516
107198,#789307570221494277,1515
35058,#14510678,1514
99345,#599715797,1514
75799,#2934622116,1512
100901,#63477793,1512
17688,#1278671694329044993,1509
89714,#41993412,1508
8907,#1153184155963805697,1508
87601,#392679477,1507
96510,#539416362,1507
83777,#347070609,1504
77008,#3000608887,1502
54041,#1654861243,1501
28332,#1400923637205504000,1500
113353,#892613619610812416,1500
18140,#1284917760,1500
4003,#107341163,1499
29773,#1413296082,1499
36463,#1461037218,1499
20071,#130965104,1496
98667,#584635444,1493
53611,#1632062924,1492
112178,#872356976931557376,1487
57894,#19210648,1487
112338,#874856564275990528,1484
86186,#376096170,1484
73393,#28198758,1484
76350,#2963454472,1483
99184,#596281072,1483
100969,#636741487,1483
55401,#17335098,1482
34524,#1447159165600747530,1482
77257,#3013564938,1480
45453,#1527147340674367488,1477
24765,#1364172640806604802,1477
75481,#2919448626,1476
49100,#1561506377054294016,1475
118707,#986277960,1474
23061,#134702440,1474
101706,#69835888,1473
81994,#330888820,1472
2587,#10483132,1469
109221,#824592534,1469
25723,#1374340280007106567,1469
114040,#903749950474903552,1468
57952,#192454831,1468
52336,#1594652229465931777,1466
17744,#1279500036900941824,1465
73795,#283965884,1464
24877,#136538878,1463
75872,#293886497,1463
106491,#77663791,1461
9266,#1158958185601888256,1461
70756,#266010557,1460
41308,#1496686212,1459
17779,#1279809639467511809,1457
71465,#270679223,1455
102224,#707774180612112385,1454
112794,#882854146021376000,1454
76004,#2944543016,1454
19558,#1302782766279393280,1453
73110,#280332744,1449
110288,#84018435,1449
4699,#108509344,1448
114275,#907645652,1445
24041,#1356877987371573248,1443
96473,#538739720,1443
63470,#2289423523,1442
62872,#2263704050,1441
76808,#2990747108,1441
40498,#1490465297349820416,1440
12661,#1213709783036858368,1439
6585,#1116181469133590529,1439
74037,#2852457577,1437
116427,#945800231882407937,1436
86106,#375019692,1435
57659,#19056110,1433
48937,#1559820533696385024,1433
72636,#27782665,1432
96360,#53588148,1425
39085,#1481164583562006528,1424
112755,#882421731238883328,1424
67448,#247496843,1422
103999,#73568299,1420
38918,#1480128860410691585,1419
93444,#478262698,1417
95783,#521405528,1417
105378,#758513673346232320,1416
13857,#1230357872547991552,1416
104153,#738365131,1415
18179,#1285368591169142784,1415
44422,#1519350426357092353,1412
92350,#46292189,1411
1398,#1025683190,1410
113704,#89864148,1408
114232,#907048650580271104,1406
98411,#578976484,1405
78765,#3104683262,1405
8413,#1146003385750974464,1405
69421,#25819910,1403
72069,#27408741,1403
96234,#53269709,1402
95167,#507124127,1401
61620,#220313974,1400
27438,#1392242182715707395,1400
24113,#135742474,1399
67381,#2470501040,1399
50886,#157940318,1398
23507,#135129070,1396
117269,#96003367,1395
98327,#577108399,1393
59960,#209008159,1392
61849,#2217321784,1389
106568,#778028382965542912,1389
17465,#12757912,1389
